job_name	vcf_file	region	output_base
Chromosome12-120	Chromosome_12_RagTag-120.vcf.gz	Chromosome_12_RagTag:17100001-19100000	Chromosome12-120_out
Chromosome12-121	Chromosome_12_RagTag-121.vcf.gz	Chromosome_12_RagTag:19000001-21000000	Chromosome12-121_out
Chromosome12-122	Chromosome_12_RagTag-122.vcf.gz	Chromosome_12_RagTag:20900001-22733986	Chromosome12-122_out
Chromosome13-123	Chromosome_13_RagTag-123.vcf.gz	Chromosome_13_RagTag:1-2000000	Chromosome13-123_out
Chromosome13-124	Chromosome_13_RagTag-124.vcf.gz	Chromosome_13_RagTag:1900001-3900000	Chromosome13-124_out
Chromosome13-125	Chromosome_13_RagTag-125.vcf.gz	Chromosome_13_RagTag:3800001-5800000	Chromosome13-125_out
Chromosome13-126	Chromosome_13_RagTag-126.vcf.gz	Chromosome_13_RagTag:5700001-7700000	Chromosome13-126_out
Chromosome13-127	Chromosome_13_RagTag-127.vcf.gz	Chromosome_13_RagTag:7600001-9600000	Chromosome13-127_out
Chromosome13-128	Chromosome_13_RagTag-128.vcf.gz	Chromosome_13_RagTag:9500001-11500000	Chromosome13-128_out
Chromosome13-129	Chromosome_13_RagTag-129.vcf.gz	Chromosome_13_RagTag:11400001-13400000	Chromosome13-129_out
Chromosome13-130	Chromosome_13_RagTag-130.vcf.gz	Chromosome_13_RagTag:13300001-15300000	Chromosome13-130_out
Chromosome13-131	Chromosome_13_RagTag-131.vcf.gz	Chromosome_13_RagTag:15200001-17200000	Chromosome13-131_out
Chromosome13-132	Chromosome_13_RagTag-132.vcf.gz	Chromosome_13_RagTag:17100001-19100000	Chromosome13-132_out
Chromosome13-133	Chromosome_13_RagTag-133.vcf.gz	Chromosome_13_RagTag:19000001-21000000	Chromosome13-133_out
Chromosome13-134	Chromosome_13_RagTag-134.vcf.gz	Chromosome_13_RagTag:20900001-21469966	Chromosome13-134_out
Chromosome14-135	Chromosome_14_RagTag-135.vcf.gz	Chromosome_14_RagTag:1-2000000	Chromosome14-135_out
Chromosome14-136	Chromosome_14_RagTag-136.vcf.gz	Chromosome_14_RagTag:1900001-3900000	Chromosome14-136_out
Chromosome14-137	Chromosome_14_RagTag-137.vcf.gz	Chromosome_14_RagTag:3800001-5800000	Chromosome14-137_out
Chromosome14-138	Chromosome_14_RagTag-138.vcf.gz	Chromosome_14_RagTag:5700001-7700000	Chromosome14-138_out
Chromosome14-139	Chromosome_14_RagTag-139.vcf.gz	Chromosome_14_RagTag:7600001-9600000	Chromosome14-139_out
Chromosome14-140	Chromosome_14_RagTag-140.vcf.gz	Chromosome_14_RagTag:9500001-11500000	Chromosome14-140_out
Chromosome14-141	Chromosome_14_RagTag-141.vcf.gz	Chromosome_14_RagTag:11400001-13400000	Chromosome14-141_out
Chromosome14-142	Chromosome_14_RagTag-142.vcf.gz	Chromosome_14_RagTag:13300001-15300000	Chromosome14-142_out
Chromosome14-143	Chromosome_14_RagTag-143.vcf.gz	Chromosome_14_RagTag:15200001-17200000	Chromosome14-143_out
Chromosome14-144	Chromosome_14_RagTag-144.vcf.gz	Chromosome_14_RagTag:17100001-19100000	Chromosome14-144_out
Chromosome14-145	Chromosome_14_RagTag-145.vcf.gz	Chromosome_14_RagTag:19000001-20728744	Chromosome14-145_out
Chromosome15-146	Chromosome_15_RagTag-146.vcf.gz	Chromosome_15_RagTag:1-2000000	Chromosome15-146_out
Chromosome15-147	Chromosome_15_RagTag-147.vcf.gz	Chromosome_15_RagTag:1900001-3900000	Chromosome15-147_out
Chromosome15-148	Chromosome_15_RagTag-148.vcf.gz	Chromosome_15_RagTag:3800001-5800000	Chromosome15-148_out
Chromosome15-149	Chromosome_15_RagTag-149.vcf.gz	Chromosome_15_RagTag:5700001-7700000	Chromosome15-149_out
Chromosome15-150	Chromosome_15_RagTag-150.vcf.gz	Chromosome_15_RagTag:7600001-9600000	Chromosome15-150_out
Chromosome15-151	Chromosome_15_RagTag-151.vcf.gz	Chromosome_15_RagTag:9500001-11500000	Chromosome15-151_out
Chromosome15-152	Chromosome_15_RagTag-152.vcf.gz	Chromosome_15_RagTag:11400001-13400000	Chromosome15-152_out
Chromosome15-153	Chromosome_15_RagTag-153.vcf.gz	Chromosome_15_RagTag:13300001-15300000	Chromosome15-153_out
Chromosome15-154	Chromosome_15_RagTag-154.vcf.gz	Chromosome_15_RagTag:15200001-17200000	Chromosome15-154_out
Chromosome15-155	Chromosome_15_RagTag-155.vcf.gz	Chromosome_15_RagTag:17100001-19100000	Chromosome15-155_out
Chromosome15-156	Chromosome_15_RagTag-156.vcf.gz	Chromosome_15_RagTag:19000001-19495320	Chromosome15-156_out
Chromosome16-157	Chromosome_16_RagTag-157.vcf.gz	Chromosome_16_RagTag:1-2000000	Chromosome16-157_out
Chromosome16-158	Chromosome_16_RagTag-158.vcf.gz	Chromosome_16_RagTag:1900001-3900000	Chromosome16-158_out
Chromosome16-159	Chromosome_16_RagTag-159.vcf.gz	Chromosome_16_RagTag:3800001-5800000	Chromosome16-159_out
Chromosome16-160	Chromosome_16_RagTag-160.vcf.gz	Chromosome_16_RagTag:5700001-7700000	Chromosome16-160_out
Chromosome16-161	Chromosome_16_RagTag-161.vcf.gz	Chromosome_16_RagTag:7600001-9600000	Chromosome16-161_out
Chromosome16-162	Chromosome_16_RagTag-162.vcf.gz	Chromosome_16_RagTag:9500001-11500000	Chromosome16-162_out
Chromosome16-163	Chromosome_16_RagTag-163.vcf.gz	Chromosome_16_RagTag:11400001-13400000	Chromosome16-163_out
Chromosome16-164	Chromosome_16_RagTag-164.vcf.gz	Chromosome_16_RagTag:13300001-15300000	Chromosome16-164_out
Chromosome16-165	Chromosome_16_RagTag-165.vcf.gz	Chromosome_16_RagTag:15200001-17200000	Chromosome16-165_out
Chromosome16-166	Chromosome_16_RagTag-166.vcf.gz	Chromosome_16_RagTag:17100001-17812915	Chromosome16-166_out
Chromosome17-167	Chromosome_17_RagTag-167.vcf.gz	Chromosome_17_RagTag:1-2000000	Chromosome17-167_out
Chromosome17-168	Chromosome_17_RagTag-168.vcf.gz	Chromosome_17_RagTag:1900001-3900000	Chromosome17-168_out
Chromosome17-169	Chromosome_17_RagTag-169.vcf.gz	Chromosome_17_RagTag:3800001-5800000	Chromosome17-169_out
Chromosome17-170	Chromosome_17_RagTag-170.vcf.gz	Chromosome_17_RagTag:5700001-7700000	Chromosome17-170_out
Chromosome17-171	Chromosome_17_RagTag-171.vcf.gz	Chromosome_17_RagTag:7600001-9600000	Chromosome17-171_out
Chromosome17-172	Chromosome_17_RagTag-172.vcf.gz	Chromosome_17_RagTag:9500001-11500000	Chromosome17-172_out
Chromosome17-173	Chromosome_17_RagTag-173.vcf.gz	Chromosome_17_RagTag:11400001-13400000	Chromosome17-173_out
Chromosome17-174	Chromosome_17_RagTag-174.vcf.gz	Chromosome_17_RagTag:13300001-15300000	Chromosome17-174_out
